Cases/10000Habitants,Cases,Municipality,Gemnr,Habitants,Number of Records,Date
0,0,Ooststellingwerf,85,25497,1,09/03/2020
0,0,Eijsden-Margraten,"1,903",25658,1,09/03/2020
0,0,Tholen,716,25780,1,09/03/2020
0,0,Weststellingwerf,98,25840,1,09/03/2020
0,0,Wassenaar,629,26211,1,09/03/2020
0,0,Gilze en Rijen,784,26431,1,09/03/2020
0,0,Buren,214,26568,1,09/03/2020
0,0,Ermelo,233,26858,1,09/03/2020
0,0,Kaag en Braassem,"1,884",26866,1,09/03/2020
0,0,Aalten,197,27011,1,09/03/2020
0,0,Leiderdorp,547,27109,1,09/03/2020
0,0,Drimmelen,"1,719",27150,1,09/03/2020
0,0,Nunspeet,302,27481,1,09/03/2020
0,0,Veendam,47,27491,1,09/03/2020
0,0,Hulst,677,27524,1,09/03/2020
0,0,Achtkarspelen,59,27852,1,09/03/2020
0,0,Langedijk,416,27992,1,09/03/2020
0,0,Brunssum,899,28103,1,09/03/2020
0,0,Waddinxveen,627,28316,1,09/03/2020
0,0,Dalfsen,148,28499,1,09/03/2020
0,0,Nieuwkoop,569,28628,1,09/03/2020
0,0,Winterswijk,294,28903,1,09/03/2020
0,0,Boxmeer,756,29065,1,09/03/2020
0,0,Krimpen aan den IJssel,542,29376,1,09/03/2020
0,0,Uithoorn,451,29424,1,09/03/2020
0,0,Oost Gelre,"1,586",29704,1,09/03/2020
0,0,Opsterland,86,29723,1,09/03/2020
0,0,Bergen (NH),373,29974,1,09/03/2020
0,0,Leusden,327,30030,1,09/03/2020
0,0,Halderberge,"1,655",30194,1,09/03/2020
0,0,Boxtel,757,30747,1,09/03/2020
0,0,Valkenswaard,858,30910,1,09/03/2020
0,0,Hendrik-Ido-Ambacht,531,30966,1,09/03/2020
0,0,Noordenveld,"1,699",31290,1,09/03/2020
0,0,Echt-Susteren,"1,711",31638,1,09/03/2020
0,0,Aalsmeer,358,31728,1,09/03/2020
0,0,Tytsjerksteradiel,737,31780,1,09/03/2020
0,0,Stadskanaal,37,31789,1,09/03/2020
0,0,Oldenzaal,173,31840,1,09/03/2020
0,0,Papendrecht,590,32290,1,09/03/2020
0,0,Maassluis,556,32768,1,09/03/2020
0,0,Epe,232,33145,1,09/03/2020
0,0,Midden-Drenthe,"1,731",33178,1,09/03/2020
0,0,Meppel,119,33564,1,09/03/2020
0,0,Lochem,262,33590,1,09/03/2020
0,0,Tynaarlo,"1,73",33698,1,09/03/2020
0,0,Twenterand,"1,7",33792,1,09/03/2020
0,0,Bodegraven-Reeuwijk,"1,901",34462,1,09/03/2020
0,0,Berg en Dal,"1,945",34798,1,09/03/2020
0,0,Hof van Twente,"1,735",34940,1,09/03/2020
0,0,Castricum,383,35772,1,09/03/2020
0,0,Montferland,"1,955",36026,1,09/03/2020
0,0,Edam-Volendam,385,36099,1,09/03/2020
0,0,Gorinchem,512,36682,1,09/03/2020
0,0,Moerdijk,"1,709",36961,1,09/03/2020
0,0,Teylingen,"1,525",37061,1,09/03/2020
0,0,Raalte,177,37511,1,09/03/2020
0,0,Landgraaf,882,37591,1,09/03/2020
0,0,Goes,664,37653,1,09/03/2020
0,0,Oldambt,"1,895",38129,1,09/03/2020
0,0,Rijssen-Holten,"1,742",38300,1,09/03/2020
0,0,Wageningen,289,38774,1,09/03/2020
0,0,Heemskerk,396,39164,1,09/03/2020
0,0,Oude IJsselstreek,"1,509",39473,1,09/03/2020
0,0,Geldrop-Mierlo,"1,771",39595,1,09/03/2020
0,0,Hellevoetsluis,530,40049,1,09/03/2020
0,0,Dronten,303,40815,1,09/03/2020
0,0,Horst aan de Maas,"1,507",42291,1,09/03/2020
0,0,Zuidplas,"1,892",42762,1,09/03/2020
0,0,Nijkerk,267,42943,1,09/03/2020
0,0,Peel en Maas,"1,894",43311,1,09/03/2020
0,0,Venray,984,43326,1,09/03/2020
0,0,Zevenaar,299,43488,1,09/03/2020
0,0,Rheden,275,43640,1,09/03/2020
0,0,Molenlanden,"1,978",43858,1,09/03/2020
0,0,Berkelland,"1,859",43904,1,09/03/2020
0,0,Steenwijkerland,"1,708",43940,1,09/03/2020
0,0,De Ronde Venen,736,44059,1,09/03/2020
0,0,Vlissingen,718,44371,1,09/03/2020
0,0,Zwijndrecht,642,44639,1,09/03/2020
0,0,Medemblik,420,44809,1,09/03/2020
0,0,Kerkrade,928,45642,1,09/03/2020
0,0,Waadhoeke,"1,949",46039,1,09/03/2020
0,0,Schagen,441,46553,1,09/03/2020
0,0,Noordoostpolder,171,46849,1,09/03/2020
0,0,Overbetuwe,"1,734",47543,1,09/03/2020
0,0,Harderwijk,243,47581,1,09/03/2020
0,0,Zutphen,301,47609,1,09/03/2020
0,0,Hollands Kroon,"1,911",47815,1,09/03/2020
0,0,Het Hogeland,"1,966",47888,1,09/03/2020
0,0,Middelburg,687,48544,1,09/03/2020
0,0,Barendrecht,489,48673,1,09/03/2020
0,0,Goeree-Overflakkee,"1,924",49611,1,09/03/2020
0,0,Weert,988,49842,1,09/03/2020
0,0,Heerenveen,74,50257,1,09/03/2020
0,0,De Fryske Marren,"1,94",51430,1,09/03/2020
0,0,Rijswijk,603,53467,1,09/03/2020
0,0,Kampen,166,53779,1,09/03/2020
0,0,Terneuzen,715,54589,1,09/03/2020
0,0,Den Helder,400,55604,1,09/03/2020
0,0,Oosterhout,826,55616,1,09/03/2020
0,0,Hoogeveen,118,55662,1,09/03/2020
0,0,Smallingerland,90,55938,1,09/03/2020
0,0,Heerhugowaard,398,56742,1,09/03/2020
0,0,Doetinchem,222,57555,1,09/03/2020
0,0,Barneveld,203,57971,1,09/03/2020
0,0,Hardenberg,160,60574,1,09/03/2020
0,0,Midden-Groningen,"1,952",60899,1,09/03/2020
0,0,Westerkwartier,"1,969",63031,1,09/03/2020
0,0,Nieuwegein,356,63036,1,09/03/2020
0,0,Katwijk,537,65302,1,09/03/2020
0,0,Veenendaal,345,65589,1,09/03/2020
0,0,Capelle aan den IJssel,502,66818,1,09/03/2020
0,0,Assen,106,67963,1,09/03/2020
0,0,Velsen,453,68348,1,09/03/2020
0,0,Vlaardingen,622,72404,1,09/03/2020
0,0,Hoorn,405,73004,1,09/03/2020
0,0,Gouda,513,73181,1,09/03/2020
0,0,Roosendaal,"1,674",77032,1,09/03/2020
0,0,Lelystad,995,77893,1,09/03/2020
0,0,Schiedam,606,77999,1,09/03/2020
0,0,Purmerend,439,80117,1,09/03/2020
0,0,Hengelo (O),164,80683,1,09/03/2020
0,0,Nissewaard,"1,93",84797,1,09/03/2020
0,0,Heerlen,917,86832,1,09/03/2020
0,0,Súdwest-Fryslân,"1,9",89710,1,09/03/2020
0,0,Hilversum,402,90238,1,09/03/2020
0,0,Deventer,150,99957,1,09/03/2020
0,0,Alkmaar,361,108558,1,09/03/2020
0,0,Westland,"1,783",108603,1,09/03/2020
0,0,Ede,228,115710,1,09/03/2020
0,0,Dordrecht,505,118654,1,09/03/2020
0,0,Leeuwarden,80,123107,1,09/03/2020
0,0,Leiden,546,124899,1,09/03/2020
0,0,Zoetermeer,637,124944,1,09/03/2020
0,0,Haarlemmermeer,394,154235,1,09/03/2020
0,0,Amersfoort,307,156286,1,09/03/2020
0,0,Enschede,153,158986,1,09/03/2020
0,0,Apeldoorn,200,162445,1,09/03/2020
0,0,Groningen,14,231299,1,09/03/2020
,1,onbekend,,,1,09/03/2020
"0,944465433",1,Boekel,755,10588,1,09/03/2020
"0,892697733",1,Blaricum,376,11202,1,09/03/2020
"0,683713934",1,Westvoorne,614,14626,1,09/03/2020
"0,579810982",1,Waalre,866,17247,1,09/03/2020
"0,577533930",1,Waterland,852,17315,1,09/03/2020
"0,524218914",1,West Maas en Waal,668,19076,1,09/03/2020
"0,470013160",1,Tubbergen,183,21276,1,09/03/2020
"0,462705904",1,Zundert,879,21612,1,09/03/2020
"0,448249585",1,Zeewolde,50,22309,1,09/03/2020
"0,427167877",1,Bloemendaal,377,23410,1,09/03/2020
"0,420839997",1,Wijk bij Duurstede,352,23762,1,09/03/2020
"0,416077224",1,Neder-Betuwe,"1,74",24034,1,09/03/2020
"0,409550723",1,Voorst,285,24417,1,09/03/2020
"0,409399820",1,Oegstgeest,579,24426,1,09/03/2020
"0,404973069",1,Maasdriel,263,24693,1,09/03/2020
"0,395710498",1,Albrandswaard,613,25271,1,09/03/2020
"0,378845280",1,Vught,865,26396,1,09/03/2020
"0,366488309",1,Heemstede,397,27286,1,09/03/2020
"0,351481494",1,Zaltbommel,297,28451,1,09/03/2020
"0,350201366",1,Culemborg,216,28555,1,09/03/2020
"0,328439584",1,Gemert-Bakel,"1,652",30447,1,09/03/2020
"0,309004388",1,Deurne,762,32362,1,09/03/2020
"0,296041920",1,Schouwen-Duiveland,"1,676",33779,1,09/03/2020
"0,292740047",1,IJsselstein,353,34160,1,09/03/2020
"0,280261203",1,Leudal,"1,64",35681,1,09/03/2020
"0,244194281",1,Wijchen,296,40951,1,09/03/2020
"0,242289148",1,Huizen,406,41273,1,09/03/2020
"0,238220020",1,Tiel,281,41978,1,09/03/2020
"0,228446110",1,Etten-Leur,777,43774,1,09/03/2020
"0,226577546",1,Heusden,797,44135,1,09/03/2020
"0,220570395",1,Veldhoven,861,45337,1,09/03/2020
"0,216258299",1,Ridderkerk,597,46241,1,09/03/2020
"0,179494543",1,Vijfheerenlanden,"1,961",55712,1,09/03/2020
"0,178418498",1,Krimpenerwaard,"1,931",56048,1,09/03/2020
"0,171794740",1,Roermond,957,58209,1,09/03/2020
"0,156411299",1,Zeist,355,63934,1,09/03/2020
"0,149675952",1,Bergen op Zoom,748,66811,1,09/03/2020
"0,137270244",1,Almelo,141,72849,1,09/03/2020
"0,132582035",1,Leidschendam-Voorburg,"1,916",75425,1,09/03/2020
"0,109348176",1,Oss,828,91451,1,09/03/2020
"0,098422291",1,Venlo,983,101603,1,09/03/2020
"0,096933978",1,Delft,503,103163,1,09/03/2020
"0,093359349",1,Emmen,114,107113,1,09/03/2020
"0,090101454",1,Alphen aan den Rijn,484,110986,1,09/03/2020
"0,078433218",1,Zwolle,193,127497,1,09/03/2020
"0,048099123",1,Almere,34,207904,1,09/03/2020
"1,901863827",2,Simpelveld,965,10516,1,09/03/2020
"1,408946812",2,Haaren,788,14195,1,09/03/2020
"1,287912937",2,Landerd,"1,685",15529,1,09/03/2020
"0,759013283",2,Dinkelland,"1,774",26350,1,09/03/2020
"0,685025346",2,Diemen,384,29196,1,09/03/2020
"0,670668321",2,Best,753,29821,1,09/03/2020
"0,649224177",2,Bernheze,"1,721",30806,1,09/03/2020
"0,558534406",2,Hellendoorn,163,35808,1,09/03/2020
"0,552303104",2,Bronckhorst,"1,876",36212,1,09/03/2020
"0,466646445",2,Noordwijk,575,42859,1,09/03/2020
"0,430338892",2,Lingewaard,"1,705",46475,1,09/03/2020
"0,403918005",2,Utrechtse Heuvelrug,"1,581",49515,1,09/03/2020
"0,394500661",2,West Betuwe,"1,96",50697,1,09/03/2020
"0,383163783",2,Woerden,632,52197,1,09/03/2020
"0,368113968",2,Pijnacker-Nootdorp,"1,926",54331,1,09/03/2020
"0,346530365",2,Gooise Meren,"1,942",57715,1,09/03/2020
"0,230797637",2,Hoeksche Waard,"1,963",86656,1,09/03/2020
"0,220172175",2,Amstelveen,362,90838,1,09/03/2020
"0,128299708",2,Zaanstad,479,155885,1,09/03/2020
"0,125576869",2,Arnhem,202,159265,1,09/03/2020
"0,124019471",2,Haarlem,392,161265,1,09/03/2020
"0,037186264",2,'s-Gravenhage,518,537833,1,09/03/2020
"1,292546316",3,Borne,147,23210,1,09/03/2020
"1,159106715",3,Beuningen,209,25882,1,09/03/2020
"1,151587271",3,Dongen,766,26051,1,09/03/2020
"1,147666412",3,Oisterwijk,824,26140,1,09/03/2020
"0,487005081",3,Lansingerland,"1,621",61601,1,09/03/2020
"0,194546221",3,'s-Hertogenbosch,796,154205,1,09/03/2020
"0,169749506",3,Nijmegen,268,176731,1,09/03/2020
"2,215943715",4,Hardinxveld-Giessendam,523,18051,1,09/03/2020
"1,681166730",4,Goirle,785,23793,1,09/03/2020
"1,119601422",4,Beekdaelen,"1,954",35727,1,09/03/2020
"0,971439674",4,Beverwijk,375,41176,1,09/03/2020
"0,722204167",4,Altena,"1,959",55386,1,09/03/2020
"0,046351822",4,Amsterdam,363,862965,1,09/03/2020
"1,724673174",5,Sint-Michielsgestel,845,28991,1,09/03/2020
"1,597342023",5,Renkum,274,31302,1,09/03/2020
"1,036484245",5,Waalwijk,867,48240,1,09/03/2020
"0,777169858",5,Stichtse Vecht,"1,904",64336,1,09/03/2020
"1,401083505",6,De Bilt,310,42824,1,09/03/2020
"0,493563114",6,Maastricht,935,121565,1,09/03/2020
"3,000814507",7,Loon op Zand,809,23327,1,09/03/2020
"1,515348314",7,Soest,342,46194,1,09/03/2020
"0,764826712",7,Helmond,794,91524,1,09/03/2020
"0,302190449",7,Eindhoven,772,231642,1,09/03/2020
"0,863362148",8,Sittard-Geleen,"1,883",92661,1,09/03/2020
"2,536425894",9,Coevorden,109,35483,1,09/03/2020
"1,237394048",10,Meierijstad,"1,948",80815,1,09/03/2020
"2,872050165",12,Uden,856,41782,1,09/03/2020
"2,604636253",13,Houten,321,49911,1,09/03/2020
"0,368411805",13,Utrecht,344,352866,1,09/03/2020
"0,217182890",14,Rotterdam,599,644618,1,09/03/2020
"1,033321912",19,Breda,758,183873,1,09/03/2020
"1,242756342",27,Tilburg,855,217259,1,09/03/2020
,320,null,,,1,09/03/2020
0,0,Schiermonnikoog,88,936,1,10/03/2020
0,0,Vlieland,96,1138,1,10/03/2020
0,0,Rozendaal,277,1654,1,10/03/2020
0,0,Ameland,60,3673,1,10/03/2020
0,0,Terschelling,93,4890,1,10/03/2020
0,0,Renswoude,339,5259,1,10/03/2020
0,0,Baarle-Nassau,744,6847,1,10/03/2020
0,0,Noord-Beveland,"1,695",7308,1,10/03/2020
0,0,Mook en Middelaar,944,7806,1,10/03/2020
0,0,Zoeterwoude,638,8450,1,10/03/2020
0,0,Eemnes,317,9113,1,10/03/2020
0,0,Loppersum,24,9614,1,10/03/2020
0,0,Beemster,370,9748,1,10/03/2020
0,0,Oostzaan,431,9757,1,10/03/2020
0,0,Scherpenzeel,279,9873,1,10/03/2020
0,0,Vaals,981,10092,1,10/03/2020
0,0,Alphen-Chaam,"1,723",10149,1,10/03/2020
0,0,Oudewater,589,10201,1,10/03/2020
0,0,Mill en Sint Hubert,815,10891,1,10/03/2020
0,0,Doesburg,221,11148,1,10/03/2020
0,0,Laren,417,11195,1,10/03/2020
0,0,Landsmeer,415,11488,1,10/03/2020
0,0,Sint Anthonis,"1,702",11606,1,10/03/2020
0,0,Appingedam,3,11721,1,10/03/2020
0,0,Opmeer,432,11779,1,10/03/2020
0,0,Hattem,244,12173,1,10/03/2020
0,0,Pekela,765,12214,1,10/03/2020
0,0,Voerendaal,986,12452,1,10/03/2020
0,0,Grave,786,12483,1,10/03/2020
0,0,Kapelle,678,12785,1,10/03/2020
0,0,Reusel-De Mierden,"1,667",13060,1,10/03/2020
0,0,Bergen (L),893,13140,1,10/03/2020
0,0,Woudenberg,351,13166,1,10/03/2020
0,0,Beesel,889,13519,1,10/03/2020
0,0,Uitgeest,450,13528,1,10/03/2020
0,0,Texel,448,13547,1,10/03/2020
0,0,Ouder-Amstel,437,13916,1,10/03/2020
0,0,Montfoort,335,13996,1,10/03/2020
0,0,Gulpen-Wittem,"1,729",14246,1,10/03/2020
0,0,Lopik,331,14473,1,10/03/2020
0,0,Westervoort,293,14944,1,10/03/2020
0,0,Bunnik,312,15192,1,10/03/2020
0,0,Hilvarenbeek,798,15334,1,10/03/2020
0,0,Harlingen,72,15758,1,10/03/2020
0,0,Beek,888,15929,1,10/03/2020
0,0,Heeze-Leende,"1,658",15964,1,10/03/2020
0,0,Wormerland,880,16329,1,10/03/2020
0,0,Valkenburg aan de Geul,994,16470,1,10/03/2020
0,0,Heumen,252,16486,1,10/03/2020
0,0,Asten,743,16710,1,10/03/2020
0,0,Son en Breugel,848,16904,1,10/03/2020
0,0,Nederweert,946,17001,1,10/03/2020
0,0,Staphorst,180,17003,1,10/03/2020
0,0,Zandvoort,473,17011,1,10/03/2020
0,0,Gennep,907,17071,1,10/03/2020
0,0,Brielle,501,17182,1,10/03/2020
0,0,Ommen,175,17813,1,10/03/2020
0,0,Olst-Wijhe,"1,773",18071,1,10/03/2020
0,0,Bergeijk,"1,724",18491,1,10/03/2020
0,0,Enkhuizen,388,18507,1,10/03/2020
0,0,Heerde,246,18546,1,10/03/2020
0,0,Oirschot,823,18623,1,10/03/2020
0,0,Druten,225,18797,1,10/03/2020
0,0,Dantumadiel,"1,891",18923,1,10/03/2020
0,0,Meerssen,938,18923,1,10/03/2020
0,0,Eersel,770,19110,1,10/03/2020
0,0,Someren,847,19322,1,10/03/2020
0,0,Weesp,457,19334,1,10/03/2020
0,0,Westerveld,"1,701",19348,1,10/03/2020
0,0,Midden-Delfland,"1,842",19391,1,10/03/2020
0,0,Drechterland,498,19597,1,10/03/2020
0,0,Rhenen,340,20004,1,10/03/2020
0,0,Alblasserdam,482,20069,1,10/03/2020
0,0,Bladel,"1,728",20175,1,10/03/2020
0,0,Cranendonck,"1,706",20440,1,10/03/2020
0,0,Roerdalen,"1,669",20615,1,10/03/2020
0,0,Brummen,213,20698,1,10/03/2020
0,0,Urk,184,20776,1,10/03/2020
0,0,Geertruidenberg,779,21515,1,10/03/2020
0,0,Bunschoten,313,21576,1,10/03/2020
0,0,Stede Broec,532,21706,1,10/03/2020
0,0,Veere,717,21835,1,10/03/2020
0,0,Woensdrecht,873,21866,1,10/03/2020
0,0,Hillegom,534,21966,1,10/03/2020
0,0,Laarbeek,"1,659",22333,1,10/03/2020
0,0,Zwartewaterland,"1,896",22503,1,10/03/2020
0,0,Rucphen,840,22572,1,10/03/2020
0,0,Losser,168,22622,1,10/03/2020
0,0,Reimerswaal,703,22678,1,10/03/2020
0,0,Koggenland,"1,598",22738,1,10/03/2020
0,0,Borsele,654,22800,1,10/03/2020
0,0,Lisse,553,22800,1,10/03/2020
0,0,Elburg,230,23086,1,10/03/2020
0,0,Sluis,"1,714",23386,1,10/03/2020
0,0,Heiloo,399,23464,1,10/03/2020
0,0,Oldebroek,269,23598,1,10/03/2020
0,0,Maasgouw,"1,641",23716,1,10/03/2020
0,0,Wijdemeren,"1,696",24013,1,10/03/2020
0,0,De Wolden,"1,69",24110,1,10/03/2020
0,0,Putten,273,24198,1,10/03/2020
0,0,Haaksbergen,158,24277,1,10/03/2020
0,0,Wierden,189,24351,1,10/03/2020
0,0,Delfzijl,10,24716,1,10/03/2020
0,0,Baarn,308,24767,1,10/03/2020
0,0,Cuijk,"1,684",24931,1,10/03/2020
0,0,Stein,971,24961,1,10/03/2020
0,0,Sliedrecht,610,25026,1,10/03/2020
0,0,Steenbergen,851,25054,1,10/03/2020
0,0,Westerwolde,"1,95",25199,1,10/03/2020
0,0,Duiven,226,25332,1,10/03/2020
0,0,Borger-Odoorn,"1,681",25372,1,10/03/2020
0,0,Aa en Hunze,"1,68",25386,1,10/03/2020
0,0,Voorschoten,626,25479,1,10/03/2020
0,0,Ooststellingwerf,85,25497,1,10/03/2020
0,0,Eijsden-Margraten,"1,903",25658,1,10/03/2020
0,0,Tholen,716,25780,1,10/03/2020
0,0,Weststellingwerf,98,25840,1,10/03/2020
0,0,Wassenaar,629,26211,1,10/03/2020
0,0,Gilze en Rijen,784,26431,1,10/03/2020
0,0,Buren,214,26568,1,10/03/2020
0,0,Kaag en Braassem,"1,884",26866,1,10/03/2020
0,0,Aalten,197,27011,1,10/03/2020
0,0,Leiderdorp,547,27109,1,10/03/2020
0,0,Drimmelen,"1,719",27150,1,10/03/2020
0,0,Nunspeet,302,27481,1,10/03/2020
0,0,Veendam,47,27491,1,10/03/2020
0,0,Hulst,677,27524,1,10/03/2020
0,0,Achtkarspelen,59,27852,1,10/03/2020
0,0,Langedijk,416,27992,1,10/03/2020
0,0,Brunssum,899,28103,1,10/03/2020
0,0,Dalfsen,148,28499,1,10/03/2020
0,0,Nieuwkoop,569,28628,1,10/03/2020
0,0,Winterswijk,294,28903,1,10/03/2020
0,0,Boxmeer,756,29065,1,10/03/2020
0,0,Krimpen aan den IJssel,542,29376,1,10/03/2020
0,0,Uithoorn,451,29424,1,10/03/2020
0,0,Oost Gelre,"1,586",29704,1,10/03/2020
0,0,Bergen (NH),373,29974,1,10/03/2020
0,0,Leusden,327,30030,1,10/03/2020
0,0,Halderberge,"1,655",30194,1,10/03/2020
0,0,Boxtel,757,30747,1,10/03/2020
0,0,Valkenswaard,858,30910,1,10/03/2020
0,0,Hendrik-Ido-Ambacht,531,30966,1,10/03/2020
0,0,Noordenveld,"1,699",31290,1,10/03/2020
0,0,Echt-Susteren,"1,711",31638,1,10/03/2020
0,0,Tytsjerksteradiel,737,31780,1,10/03/2020
0,0,Stadskanaal,37,31789,1,10/03/2020
0,0,Oldenzaal,173,31840,1,10/03/2020
0,0,Papendrecht,590,32290,1,10/03/2020
0,0,Maassluis,556,32768,1,10/03/2020
0,0,Epe,232,33145,1,10/03/2020
0,0,Midden-Drenthe,"1,731",33178,1,10/03/2020
0,0,Meppel,119,33564,1,10/03/2020
0,0,Lochem,262,33590,1,10/03/2020
0,0,Tynaarlo,"1,73",33698,1,10/03/2020
0,0,Twenterand,"1,7",33792,1,10/03/2020
0,0,Bodegraven-Reeuwijk,"1,901",34462,1,10/03/2020
0,0,Hof van Twente,"1,735",34940,1,10/03/2020
0,0,Castricum,383,35772,1,10/03/2020
0,0,Montferland,"1,955",36026,1,10/03/2020
0,0,Edam-Volendam,385,36099,1,10/03/2020
0,0,Gorinchem,512,36682,1,10/03/2020
0,0,Moerdijk,"1,709",36961,1,10/03/2020
0,0,Teylingen,"1,525",37061,1,10/03/2020
0,0,Raalte,177,37511,1,10/03/2020
0,0,Landgraaf,882,37591,1,10/03/2020
0,0,Oldambt,"1,895",38129,1,10/03/2020
0,0,Rijssen-Holten,"1,742",38300,1,10/03/2020
0,0,Wageningen,289,38774,1,10/03/2020
0,0,Heemskerk,396,39164,1,10/03/2020
0,0,Oude IJsselstreek,"1,509",39473,1,10/03/2020
0,0,Geldrop-Mierlo,"1,771",39595,1,10/03/2020
0,0,Hellevoetsluis,530,40049,1,10/03/2020
0,0,Dronten,303,40815,1,10/03/2020
0,0,Horst aan de Maas,"1,507",42291,1,10/03/2020
0,0,Zuidplas,"1,892",42762,1,10/03/2020
0,0,Nijkerk,267,42943,1,10/03/2020
0,0,Venray,984,43326,1,10/03/2020
0,0,Zevenaar,299,43488,1,10/03/2020
0,0,Molenlanden,"1,978",43858,1,10/03/2020
0,0,Berkelland,"1,859",43904,1,10/03/2020
0,0,Steenwijkerland,"1,708",43940,1,10/03/2020
0,0,De Ronde Venen,736,44059,1,10/03/2020
0,0,Vlissingen,718,44371,1,10/03/2020
0,0,Zwijndrecht,642,44639,1,10/03/2020
0,0,Medemblik,420,44809,1,10/03/2020
0,0,Noardeast-Fryslân,"1,97",45181,1,10/03/2020
0,0,Kerkrade,928,45642,1,10/03/2020
0,0,Waadhoeke,"1,949",46039,1,10/03/2020
0,0,Noordoostpolder,171,46849,1,10/03/2020
0,0,Overbetuwe,"1,734",47543,1,10/03/2020
0,0,Harderwijk,243,47581,1,10/03/2020
0,0,Zutphen,301,47609,1,10/03/2020
0,0,Hollands Kroon,"1,911",47815,1,10/03/2020
0,0,Het Hogeland,"1,966",47888,1,10/03/2020
0,0,Middelburg,687,48544,1,10/03/2020
0,0,Barendrecht,489,48673,1,10/03/2020
0,0,Goeree-Overflakkee,"1,924",49611,1,10/03/2020
0,0,Weert,988,49842,1,10/03/2020
0,0,Heerenveen,74,50257,1,10/03/2020
0,0,De Fryske Marren,"1,94",51430,1,10/03/2020
0,0,Rijswijk,603,53467,1,10/03/2020
0,0,Kampen,166,53779,1,10/03/2020
0,0,Terneuzen,715,54589,1,10/03/2020
0,0,Den Helder,400,55604,1,10/03/2020
0,0,Oosterhout,826,55616,1,10/03/2020
0,0,Hoogeveen,118,55662,1,10/03/2020
0,0,Smallingerland,90,55938,1,10/03/2020
0,0,Heerhugowaard,398,56742,1,10/03/2020
0,0,Doetinchem,222,57555,1,10/03/2020
0,0,Barneveld,203,57971,1,10/03/2020
0,0,Hardenberg,160,60574,1,10/03/2020
0,0,Midden-Groningen,"1,952",60899,1,10/03/2020
0,0,Westerkwartier,"1,969",63031,1,10/03/2020
0,0,Nieuwegein,356,63036,1,10/03/2020
0,0,Katwijk,537,65302,1,10/03/2020
0,0,Veenendaal,345,65589,1,10/03/2020
0,0,Capelle aan den IJssel,502,66818,1,10/03/2020
0,0,Assen,106,67963,1,10/03/2020
0,0,Velsen,453,68348,1,10/03/2020
0,0,Vlaardingen,622,72404,1,10/03/2020
0,0,Hoorn,405,73004,1,10/03/2020
0,0,Roosendaal,"1,674",77032,1,10/03/2020
0,0,Lelystad,995,77893,1,10/03/2020
0,0,Schiedam,606,77999,1,10/03/2020
0,0,Purmerend,439,80117,1,10/03/2020
0,0,Hengelo (O),164,80683,1,10/03/2020
0,0,Nissewaard,"1,93",84797,1,10/03/2020
0,0,Heerlen,917,86832,1,10/03/2020
0,0,Súdwest-Fryslân,"1,9",89710,1,10/03/2020
0,0,Hilversum,402,90238,1,10/03/2020
0,0,Deventer,150,99957,1,10/03/2020
0,0,Westland,"1,783",108603,1,10/03/2020
0,0,Ede,228,115710,1,10/03/2020
0,0,Dordrecht,505,118654,1,10/03/2020
0,0,Leeuwarden,80,123107,1,10/03/2020
0,0,Zoetermeer,637,124944,1,10/03/2020
0,0,Haarlemmermeer,394,154235,1,10/03/2020
0,0,Amersfoort,307,156286,1,10/03/2020
0,0,Enschede,153,158986,1,10/03/2020
0,0,Apeldoorn,200,162445,1,10/03/2020
0,0,Groningen,14,231299,1,10/03/2020
"0,892697733",1,Blaricum,376,11202,1,10/03/2020
"0,683713934",1,Westvoorne,614,14626,1,10/03/2020
"0,643956469",1,Landerd,"1,685",15529,1,10/03/2020
"0,579810982",1,Waalre,866,17247,1,10/03/2020
"0,577533930",1,Waterland,852,17315,1,10/03/2020
"0,524218914",1,West Maas en Waal,668,19076,1,10/03/2020
"0,470013160",1,Tubbergen,183,21276,1,10/03/2020
"0,462705904",1,Zundert,879,21612,1,10/03/2020
"0,448249585",1,Zeewolde,50,22309,1,10/03/2020
"0,431294747",1,"Nuenen, Gerwen en Nederwetten",820,23186,1,10/03/2020
"0,427167877",1,Bloemendaal,377,23410,1,10/03/2020
"0,420839997",1,Wijk bij Duurstede,352,23762,1,10/03/2020
"0,416077224",1,Neder-Betuwe,"1,74",24034,1,10/03/2020
"0,409550723",1,Voorst,285,24417,1,10/03/2020
"0,409399820",1,Oegstgeest,579,24426,1,10/03/2020
"0,404973069",1,Maasdriel,263,24693,1,10/03/2020
"0,395710498",1,Albrandswaard,613,25271,1,10/03/2020
"0,378845280",1,Vught,865,26396,1,10/03/2020
"0,372328543",1,Ermelo,233,26858,1,10/03/2020
"0,366488309",1,Heemstede,397,27286,1,10/03/2020
"0,353157226",1,Waddinxveen,627,28316,1,10/03/2020
"0,351481494",1,Zaltbommel,297,28451,1,10/03/2020
"0,350201366",1,Culemborg,216,28555,1,10/03/2020
"0,309004388",1,Deurne,762,32362,1,10/03/2020
"0,292740047",1,IJsselstein,353,34160,1,10/03/2020
"0,287372838",1,Berg en Dal,"1,945",34798,1,10/03/2020
"0,265583088",1,Goes,664,37653,1,10/03/2020
"0,244194281",1,Wijchen,296,40951,1,10/03/2020
"0,242289148",1,Huizen,406,41273,1,10/03/2020
"0,238220020",1,Tiel,281,41978,1,10/03/2020
"0,230888227",1,Peel en Maas,"1,894",43311,1,10/03/2020
